Zesta Whole Wheat Crackers,5 crackers (15 g),60,1.5g,11g,1g
Zero Zero Protein Bread,2 slices (75 g),180,3g,27g,11g
Zesta Original Saltine Crackers,5 crackers (15 g),60,1.5g,11g,1g
Zesta Soup 'N Oyster Crackers,51 crackers (15 g),70,3g,10g,1g
Zesty Apple Cider Vinaigrette Dressing,1 serving (33 g),130,11g,9g,0g
Zesta Fat Free Saltine Crackers,5 crackers (16 g),60,0g,13g,1g
Zero-Proof Mocktail - Coastal Colada,1 serving,310,2g,73g,1g
Zest Nachos (Half Order),1 serving (15 oz),870,55g,69g,25g
Zesty Au Gratin Potatoes,2/3 cup (140 g),190,9g,20g,7g
Zesty Cajun Protein,1 bag (312 g),400,5g,69g,20g
Zesty Buffalo Sauce,1 serving (21 g),25,2.5g,1g,0g
Zesty Cheese Tortilla Chips,19 chips (50 g),270,15g,30g,3g
Zesty Bread & Butter Chips,3 chips (1 oz),35,0g,9g,0g
Zesty Chipotle Cheese Tortilla Chips,20 chips (30 g),160,8g,21g,2g
Zesty Catalina Dressing,2 tbsp (34 g),90,6g,9g,0g
Zesty Cheddar & Italian Herb Crunchers,1 bag (29 g),100,2.5g,11g,12g
Zesty Cheddar Style Deluxe Cheeze Sauce,1/4 cup (67 g),140,11g,9g,1g
Zesty Chicken Gumbo Soup (50% Less Sodium),1 cup (248 g),110,1.5g,18g,7g
Zesty Bean & Cheese Dip (Medium),2 tbsp (33 g),45,2g,5g,2g
Zesty Chicken Tortilla Soup,1 serving (471 g),500,25g,33g,38g
Zesty Asian Style Boneless Chicken Wings,3 oz (84 g),150,5g,18g,10g
Zesty Cheese Bread (10 Bread Sticks),1 serving,1490,71g,158g,55g
Zesty Corn & Black Bean Blend,1/2 cup (85 g),100,2g,16g,3g
Zesty Cocktail Sauce,1/4 cup (60 g),70,0.5g,16g,1g
Zesty Dill Pickle Spears,1 pickle (1 oz),0,0g,1g,0g
Zesty Dill Pickles,1 pickle (60 g),10,0g,2g,0.4g
Zesty Dill Wholes,1/2 pickle (1 oz),0,0g,1g,0g
Zesty Cracked Peppercorn Sauce,1 tbsp (15 ml),35,2.5g,2g,0g
Zesty French Dressing,2 tbsp (30 ml),150,15g,4g,0g
Zesty Garlic Bread,1/9 loaf (50 g),170,7g,21g,4g
Zesty French Yogurt Dressing,2 tbsp (30 g),45,1.5g,7g,1g
Zesty French Style Dressing,2 tbsp (30 ml),90,6g,9g,0g
Zesty Garlic Kosher Spears,3/4 spear,5,0g,1g,0g
Zesty French Style Dressing,2 tbsp (30 ml),90,6g,9g,0g
Zesty Gumbo Soup,1 cup (244 g),100,2g,15g,5g
Zesty Garlic Aioli,1 tbsp (14 g),80,9g,1g,0g
Zesty Herb Snack Mix,1 package (28 g),110,4.5g,15g,6g
Zesty Herb Grill Mates Marinade Mix,1 serving (3 g),15,0g,1g,0g
Zesty Guacamole,2 tbsp (30 g),40,3.5g,3g,0g
Zesty Hoagie,1/2 Hoagie (192 g),460,23g,40g,22g
Zesty Italian,2 tbsp (30 ml),70,6g,3g,0g
Zesty Italian,2 tbsp,80,8g,3g,0g
Zesty Honey Carrots,1/4 recipe,70,0g,18g,1g
Zesty Honey Mustard,1 tsp (6.2 g),20,0g,4g,0g
Zesty Garlic Pickle,1/8 pickle (28 g),0,0g,1g,0g
Zesty Hot Dill Zingers,1 pickle (28 g),0,0g,1g,0g
Zesty Honey Mustard,1 tsp (5 g),10,0g,2g,0g
Zesty Greek Salad,1 serving,463,27g,10g,45g
Zesty Italian,2 tbsp (30 g),60,5g,4g,0g
Zesty Italian Dressing,2 tbsp (31 g),80,7g,4g,0g
Zesty Italian Dressing,2 tbsp (31 g),90,8g,4g,0g
Zesty Italian Dressing & Marinade,2 tbsp (30 ml),60,4.5g,3g,0g
Zesty Italian Dressing,2 tbsp (30 ml),50,4.5g,3g,0g
Zesty Italian Dressing,2 tbsp (30 ml),40,3g,3g,0g
Zesty Italian Anything Dressing,2 tbsp (31 g),60,4.5g,3g,0g
Zesty Italian Croutons,6 croutons,30,1g,5g,0.75g
Zesty Italian Dressing,2 tbsp (30 ml),60,4.5g,3g,0g
Zesty Italian Dressing,2 tbsp (31 g),50,4.5g,3g,0g
Zesty Italian Dressing,2 tbsp (30 g),60,4.5g,3g,0g
Zesty Italian Meatless Meatballs,3 meatballs (43 g),90,4.5g,4g,9g
Zesty Italian Dressing & Marinade,2 tbsp (31 g),60,4.5g,3g,0g
Zesty Italian Croutons,2 tbsp (7 g),30,1g,5g,1g
Zesty Italian Dressing Bright & Rustic,2 tbsp (31 g),50,4.5g,2g,0g
Zesty Italian Dressing (Packet),1 packet (43 g),100,9g,5g,0g
Zesty Italian Meatless Meatballs,6 meatballs (85 g),190,10g,11g,14g
Zesty Italian Meatless Meatballs,6 meatballs (85 g),170,11g,6g,14g
Zesty Italian Dressing & Marinade (Packet),1 packet (43 g),150,14g,4g,0g
Zesty Italian Herb Turkey Breast Tenderloins,4 oz (112 g),120,4g,3g,21g
Zesty Italian Salad Dressing,2 tbsp (30 ml),80,8g,3g,0g
Zesty Italian Salad Dressing,2 tbsp (30 ml),50,4.5g,2g,0g
Zesty Italian Salad Dressing,2 tbsp,130,14g,1g,0g
Zesty Italian Salad Dressing Mix,1/8 envelope (2 g),5,0g,1g,0g
Zesty Italian Meatless Veggie Brats,1 weiner (95 g),150,5g,9g,19g
Zesty Italian Side Salad,1 serving,200,11g,18g,10g
Zesty Italian Trio Pizza - Original Crust - Medium,1 slice,260,12g,27g,10g
Zesty Italian Trio Pizza - Original Crust - Large,1 slice,370,17g,38g,14g
Zesty Italian Trio Pizza - Original Crust - Extra Large,1 slice,390,18g,40g,15g
Zesty Italian Style Meatballs,3 meatballs (64 g),140,10g,2g,12g
Zesty Italian Trio Pizza - Gluten Free,1 slice,180,11g,16g,7g
Zesty Italian Salad,1 serving,390,23g,33g,19g
Zesty Jalapeño Corn Cheddar,2 tbsp (30 g),50,4.5g,2g,3g
Zesty Italian Trio Pizza - Original Crust - Pizza For One,1 slice,250,11g,25g,10g
Zesty Italian Trio Pizza - Original Crust - Small,1 slice,240,11g,25g,9g
Zesty Italian Trio Pizza - Thin Crust,1 slice,300,19g,20g,12g
Zesty Jalapeño Cashews,1 serving (30 g),170,14g,9g,5g
Zesty Italian Trio Pizza - Epic Stuffed Crust,1 slice,440,22g,41g,19g
Zesty Italian Salad Dressing,2 tbsp (30 ml),70,6g,3g,0g
Zesty Jalapeno Kettle Cooked Potato Chips,12 chips (28 g),150,10g,14g,2g
Zesty Jalapeno with Real Cheese Cheese Sandwich Spread,1/4 cup (55 g),150,12g,5g,5g
Zesty Jalapeño Pretzel Twists,1 ounce (28 g),130,5g,19g,3g
Zesty Lemon,3 pods (52 g),150,6g,20g,6g
Zesty Lemon Hommus,2 tbsp (30 g),50,3g,5g,1g
Zesty Lemon Cookie Thins,10 pieces (30 g),160,8g,19g,2g
Zesty Lemon Crisp Bar,1 bar (32 g),110,3g,13g,11g
Zesty Lemon Hummus,2 tbsp (28 g),50,3g,5g,1g
Zesty Kosher Dills,1/3 pickle (1 oz),5,0g,1g,0g
Zesty Lemon Bar,1 bar,150,5g,19g,10g
Zesty Lemon Crème Protein Bar,1 bar (45 g),180,7g,21g,12g
Zesty Lemon Blueberry Crisps,14 crisps (28 g),120,5g,18g,3g
Zesty Lemon Crisp Protein Bar,1 bar (44 g),160,7g,16g,15g
Zesty Lime Vinaigrette,2 tbsp (31 g),60,5g,3g,0g
Zesty Lemon Tea,1 pouch (9 g),20,0g,8g,0g
Zesty Lemon Pepper Chunk Light Tuna in Water,2 1/2 oz (71 g),70,0.5g,2g,14g
Zesty Lemon Rolled Wafers,3 pieces (28 g),140,8g,17g,2g
Zesty Lemon Sorbetto,2/3 cup (134 g),140,0g,35g,0g
Zesty Lemon & Pepper Seasoning Salt,1/4 tsp (0.7 g),0,0g,0g,0g
Zesty Lemon Herb Cod Portion with Broccoli & Roasted Potatoes,1 container (340 g),310,12g,24g,26g
Zesty Lemon Hummus,2 tbsp (28 g),50,3.5g,4g,2g
Zesty Mexican Style Beans,1/2 cup (130 g),100,1g,22g,7g
Zesty Nacho Kale Chips,1 oz (28 g),160,12g,8g,5g
Zesty Orange Sauce,1 tbsp (14 g),40,0g,9g,0g
Zesty Ranch,1 tbsp (14.5 g),110,12g,0g,0g
Zesty Original Pizza,1 pizza (148 g),350,16g,43g,8g
Zesty Protein Snack,1 bag (28 g),120,3.5g,15g,7g
Zesty Ranch Broccoli,1 cup (77 g),60,3.5g,4g,2g
Zesty Parmesan,1 serving (108 g),260,3g,46g,11g
Zesty Nachos,1 serving (25 oz),1660,106g,170g,44g
Zesty Pepitas Dressing,1 serving (2.5 oz),340,34g,2g,5g
Zesty Queso Dipping Sauce - 4 pc,1 serving,70,5g,3g,2g
Zesty Queso Dipping Sauce - 6 pc,1 serving,130,11g,6g,3g
Zesty Ranch Sunflower Seeds,3/4 cup,170,14g,8g,7g
Zesty Ranch Dipping Sauce,2 tbsp (28 g),130,13g,1g,0g
Zesty Ranch Sauce,1 tbsp (16 g),20,1.5g,2g,0g
Zesty Onion Relish,1 tbsp (15 ml),20,0g,5g,0.2g
Zesty Ranch Tortilla Chips,1oz (28 g),140,7g,18g,2g
Zesty Marinara Sauce Over Meatballs,4 meatballs & sauce (140 g),180,11g,10g,9g
Zesty Ranch Sauce,1 serving (25 ml),140,15g,2g,0g
Zesty Ranch Coating & Seasoning Mix,1/8 packet (8 g),30,0g,5g,1g
Zucchini Spiral Pho,1 cup (67 g),30,1.5g,6g,1g
Zucchini Rosa with Grilled Chicken (Regular),1 serving,450,23g,24g,38g
Zucchini Spirals,1/4 package (74 g),12,0g,3g,1g
Zucchini Spirals,1 1/2 cups (76 g),15,0g,3g,1g
Zucchini Sticks,1 serving (4 oz),20,0g,4g,1g
Zucchini Spirals,3 oz (85 g),15,0g,3g,1g
Zucchini Spirals,3 oz (85 g),10,0g,2g,1g
Zucchini Spirals,1 cup (85 g),15,0g,3g,1g
Zucchini Squash,1 serving (98 g),20,0g,4g,1g
Zucchini Strudel,1 piece (100 g),240,17g,18g,5g
Zucchini Spiral Pesto,3/4 cup (85 g),40,3g,3g,1g
Zucchini Walnut Bread,1 slice (3.5 oz),310,18g,36g,4g
Zucchini Tots,6 pieces (85 g),130,8g,13g,3g
Zucchini Strips (2 Large or 3 Small Strips),1 serving,30,1g,5g,2g
Zucchini Walnut Sweet Bread,1 slice,230,11g,31g,3g
Zucchini Strips (1 Large Strip),1 serving,15,0.5g,2g,1g
Zucchini Tots - Pizza,6 pieces (85 g),140,8g,14g,3g
Zucchini Spirals,1/4 package (85 g),15,0g,3g,1g
"Zucchini, Mozz & Sun-Dried Tomato Panini with Herb Sauce & Italian-Seasoned Sweet Potato Wedges",1 serving,410,23g,42g,9g
Zucchini with Italian Style Tomato Sauce,1/2 cup (121 g),35,0g,7g,1g
Zuchini Fritters with Avocado Creama,1 fritter,115,3g,18g,6g
"Zucchini, Mozz & Sun-Dried Tomato Panini with Herb Sauce & Italian-Seasoned Potato Wedges",2 servings,860,47g,94g,19g
Zuppa Toscana - 1 Gallon,1 serving,3520,234g,246g,118g
Zurich Sugar Cookies,3 cookies (30 g),150,7g,21g,2g
Zuppa Toscana Soup,1 container (454 g),220,7g,25g,14g
Zuppa Toscana Soup,1 serving,220,15g,15g,7g
Zuppa Toscana Soup - Kids,1 serving,220,15g,15g,7g
Zuppa Toscana - to Go,1 serving,220,15g,15g,7g
Zuum Pre-Workout,1 scoop (15.5 g),30,0g,7g,0g
Zymil Reduced Fat Milk,1 cup (240 ml),113,3.2g,12.3g,8.5g
Zzzquil,1 capful (30 ml),81,0g,10g,0g
zuCollagen,1 scoop (23 g),80,0g,0g,20g
Zwieback,6 pieces (56 g),220,3g,44g,6g
Zuppa Toscana - Half Gallon,1 serving,1760,117g,123g,59g
Yuengling - Light Lager (16oz),1 serving (16 oz),130,0g,12g,0g
Yuengling - Porter (12oz),1 serving (12 oz),160,0g,15g,0g
Yuengling - Premium (12oz),1 serving (12 oz),140,0g,12g,0g
Yuengling Flight - 14 fl,1 serving (14 oz),100,0g,3g,0g
Yuengling - Porter (16oz),1 serving (16 oz),220,0g,20g,0g
Yuengling Flight - Big Daddy,1 serving,180,0g,5g,0g
Yuengling - Light Lager (12oz),1 serving (12 oz),100,0g,9g,0g
Yuengling Golden Pilsner - 14 fl,1 serving (14 oz),140,0g,9g,1g
Yuengling - Premium (16oz),1 serving (16 oz),190,0g,16g,0g
Yuengling Flight - Pitcher,1 serving,460,0g,13g,0g
Yuengling - Premium Light (12oz),1 serving (12 oz),100,0g,7g,0g
Yuengling Golden Pilsner - 16 fl,1 serving (16 oz),160,0g,11g,1g
Yuengling Golden Pilsner - Big Daddy,1 serving,260,0g,17g,2g
Yuengling Golden Pilsner - Pitcher,1 serving,650,0g,44g,4g
Yuengling Traditional Lager - 14 fl,1 serving (14 oz),140,0g,12g,1g
Yuengling - Premium Light (16oz),1 serving (16 oz),130,0g,9g,0g
Yuengling Traditional Lager - 16 fl,1 serving (16 oz),160,0g,14g,1g
Yuengling - Lager (16oz),1 serving (16 oz),190,0g,16g,0g
Yuengling Flight - 16 fl,1 serving (16 oz),110,0g,3g,0g
Yuengling Traditional Lager - Big Daddy,1 serving,270,0g,23g,2g
Yuengling Traditional Lager (16 oz),1 serving (16 oz),190,0g,13g,0g
Yukon Chips,1 serving,500,35g,41g,4g
Yuengling Traditional Lager - Pitcher,1 serving,680,0g,58g,4g
"Yuengling, Bottle, 12 oz",1 serving (12 oz),150,0g,12g,2g
Yukon Chips (Kids),1 serving,250,18g,20g,2g
Yukon Gold Julienne Fries with Sea Salt,3 oz (84 g),120,4g,18g,2g
Yukon Gold Baked French Fries,3 oz (85 g),130,3.5g,22g,2g
Yukon Gold Mashed Potatoes,1/3 cup packaged (24 g),90,1g,18g,2g
Yukon Gold Mashed Potatoes,1/2 cup (124 g),160,10g,17g,4g
Yukon Gold Mashed Potatoes,1/2 cup (140 g),150,5g,22g,3g
Yukon Gold Mashed Potatoes,1/2 cup (124 g),130,5g,19g,3g
Yukon Gold Garlic Mashed Potatoes,1/2 cup (124 g),150,7g,21g,3g
Yukon Gold Mashed Potatoes,1/2 cup (124 g),120,6g,18g,5g
Yukon Gold Potatoes,1/2 cup (85 g),70,0g,15g,2g
Yukon Gold Potato Chips,9 chips (1 oz),130,6g,18g,2g
Yukon Gold Potato & Vegetable Blend,1 cup (85 g),60,1g,10g,2g
Yuengling Traditional Lager (12 oz),1 serving (12 oz),140,0g,10g,0g
Yukon Gold Potatoes,1 potato (148 g),110,0g,26g,3g
Yukon Gold Potatoes,1 potato (213 g),164,0.19g,37.25g,4.37g
Yukon Gold Potatoes,1 potato (148 g),110,0g,26g,3g
Yukon Select Garlic Fries,3 oz (84 g),140,4.5g,23g,2g
Yukon Gold Potatoes with Peppers and Onions,1 serving (100 g),90,1.5g,17g,2g
Yukon Select Hash Browns,2/3 cup (84 g),60,0g,13g,2g
Yum Burger,1 burger,250,9g,33g,10g
Yum Yum Sauce,1 serving (1 oz),140,15g,2g,0g
Yum Yum Fusion Bowl,1 serving,565,25g,35g,50g
Yum Yum Sauce,2 tbsp  (30 g),150,17g,5g,0g
Yum Yum Sauce,2 tbsp (28 g),160,17g,1g,0g
Yum Yum Sauce,1 tbsp (85 g),48,3.9g,2.9g,0.1g
Yum Yum Sauce,2 tbsp (30 g),120,11g,5g,0g
Yum Yum Sauce,2 tbsp (30 g),110,11g,5g,0g
Yum Yum Sauce,2 tbsp (30 g),120,11g,5g,0g
Yum Yum Sauce,2 tbsp (28 g),140,14g,3g,0g
Yum Yum Sauce,2 tbsp (29 g),120,12g,4g,0g
Yum Yum Sweet Pickles,7 slices (30 g),30,0g,7g,0.1g
Yumearth Organics Gummy Bears,11 bears (28 g),96,0g,21g,0g
Yum Yum Sauce Light,2 tbsp (28 g),90,7g,5g,0g
Yummy Bunnies & Cheddar,1 package (39 g),160,4g,25g,5g
Yummy Bunnies & Cheddar,1 serving (39 g),160,4g,25g,5g
Yum Yum Shrimp - 6 pieces,1 serving,600,42g,30g,30g
Yuzu & Kosho Dressing,2 tbsp (31 g),15,0g,4g,0g
Yuzu Citrus Black Tea Shaker - Medium,1 serving,140,0g,36g,0g
Yuzu Citrus Black Tea Shaker - Large,1 serving,180,0g,46g,0g
Yuzu Dressing,2 tbsp (30 ml),60,5g,3g,0g
Yuzu Citrus Tisane Beverage,1 packet (1.1 oz),90,0g,22g,0g
Yummy Tummy,1 package (10 g),30,0g,7g,1g
Yuzu Brussel Sprouts,1 serving,320,22g,23g,9g
Yuzu Miso Premium Sauce,2 tbsp (30 g),25,0g,6g,0g
Yuzu Citrus Black Tea Shaker with Brown Sugar Jelly - Small,1 serving,160,0g,40g,0g
Yuzu Citrus Black Tea Shaker with Brown Sugar Jelly - Medium,1 serving,180,0g,44g,0g
Yuzu Citrus Black Tea Shaker with Brown Sugar Jelly - Large,1 serving,220,0g,54g,0g
Yuzu Margarita,1 serving (12 oz),230,0g,29g,0g
Yves Veggie Meatballs,1 serving (60 g),70,2.5g,5g,13g
Yuzu Citrus Black Tea Shaker - Small,1 serving,130,0g,32g,0g
Yuzu Hot Sauce,1 tsp (5 g),0,0g,0g,0g
Yuzushio Ramen,3 oz (85 g),280,2g,56g,10g
Yellow Corn Homestyle,14 chips (28 g),140,9g,15g,2g
Yellow Corn Kernels,1/4 cup (35 g),130,1.5g,25g,4g
Yellow Corn Meal,3 tbsp (27 g),90,0g,21g,2g
Yellow Corn Meal,3 tbsp (30 g),110,0g,24g,2g
Yellow Corn Meal,3 tbsp (31 g),120,1g,25g,3g
Yellow Corn Meal,3 tbsp (27 g),90,0.5g,21g,2g
Yellow Corn Muffin Mix,1/4 cup dry mix (35 g),140,3g,26g,2g
Yellow Corn Kernels,1/4 cup dry (35 g),130,1.5g,25g,4g
Yellow Corn Meal,1/4 cup dry,110,0g,23g,3g
Yellow Corn Round Tortilla Chips,11 chips (28 g),130,6g,17g,2g
Yellow Corn Stand 'n Stuff Taco Shells,2 shells (27 g),130,6g,17g,2g
Yellow Corn Meal,3 tbsp (27 g),90,0.5g,21g,2g
Yellow Corn Meal,1/4 cup (30 g),110,1g,23g,2g
Yellow Corn Taco Shells,3 shells (35 g),170,9g,21g,2g
Yellow Corn Polenta,1/4 cup (40 g),140,0g,32g,3g
Yellow Corn Taco Shells,3 shells (32 g),150,7g,19g,2g
Yellow Corn Taco Shells,3 shells (32 g),150,6g,21g,0g
Yellow Corn Taco Shells,2 taco shells (26 g),120,7g,14g,2g
Yellow Corn Taco Shells,5 shells (30 g),130,5g,22g,2g
Yellow Corn Taco Shells,3 taco shells (33 g),140,5g,23g,2g
Yellow Corn Taco Shells,2 taco shells (26 g),120,7g,14g,2g
Yellow Corn Tortilla Chips,13 chips (28 g),140,4.5g,23g,2g
Yellow Corn Taco Shells,3 shells (33 g),140,5g,23g,2g
Yellow Corn Tortilla,1 tortilla (30 g),59,1g,13g,1g
Yellow Corn Tortilla Chips,1 oz (28 g),140,7g,16g,2g
Yellow Corn Tortilla,1 tortilla,90,1g,19g,2g
Yellow Corn Tortilla Chips,1 oz (28 g),140,6g,18g,3g
Yellow Corn Tortilla Chips,8 chips (1 oz),140,7g,18g,3g
Yellow Corn Tortilla Chips,12 chips (28 g),80,5g,9g,1g
Yellow Corn Tortilla Chips,12 chips (1 oz),130,7g,17g,2g
Yellow Corn Tortilla Chips,11 chips (28 g),140,6g,19g,2g
Yellow Corn Tortilla Chips,14 chips (28 g),140,6g,18g,3g
Yellow Corn Tortilla Chips,11 chips (28 g),140,6g,16g,2g
Yellow Corn Tortilla Chips,1 serving (1 oz),130,7g,16g,2g
Yellow Corn Tortilla Chips,1 oz (28 g),130,7g,16g,2g
Yellow Corn Tortilla Chips,1 oz (28 g),140,6g,19g,2g
Yellow Corn Tortilla Chips,8 chips (28 g),150,9g,15g,2g
Yellow Corn Tortilla Chips,1 oz (28 g),150,7g,18g,2g
Yellow Corn Tortilla Chips,12 chips (28 g),140,7g,18g,2g
Yellow Corn Tortilla Chips,1 oz (28 g),130,7g,16g,2g
Yellow Corn Tortillas,2 tortillas (52 g),130,0g,27g,3g
Yellow Corn Tortilla Rounds,11 chips (28 g),140,7g,19g,2g
Yellow Corn Tortillas,2 tortillas (47 g),80,1g,17g,2g
Yellow Corn Tortillas (Super Size),1 tortilla (30 g),70,0.5g,14g,1g
Yellow Corn Tortillas,2 totillas (47 g),90,1g,19g,2g
Yellow Cornbread & Muffin Mix,1/5 package (37 g),140,3g,26g,3g
Yellow Corn Tortillas,1 tortilla (30 g),50,0.5g,11g,1g
Yellow Corn Tortillas Extra Thin,3 tortillas (57 g),120,1g,25g,3g
Yellow Corn Tortillas Super Soft,2 tortillas (47 g),100,1g,21g,2g
Yellow Curry,1 tray (430 g),450,5g,84g,18g
Yellow Corn Tortillas,2 tortillas (48 g),100,1g,22g,2g
Yellow Corn Tortillas,2 tortillas (47 g),80,1g,18g,2g
Yellow Curry Noodles,1 cup prepared (105 g),340,8g,61g,6g
Yellow Curry,1/2 package (142.5 g),130,8g,14g,2g
Yellow Curry Chicken,1 serving (300 g),479,28.41g,22.32g,33.55g
Yellow Curry Chopped Salad,1 1/2 cups (100 g),170,11g,15g,2g
Yellow Corn Tortillas,3 tortillas (56 g),120,1g,25g,2g
Yellow Curry Paste,1 tsp (6 g),10,0.5g,2g,0g
Yellow Corn Tortillas (47g),2 tortilla (47 g),100,1g,21g,2g
Yellow Curry Paste,2 tsp (10 g),15,0g,2g,0g
Yellow Curry Rice,3/4 cup prepared (50 g),180,1.5g,39g,4g
Yellow Curry Sauced Chicken & Rice,1 package (213 g),210,6g,24g,16g
Yellow Curry Sauce,1 bag (300 g),530,40g,36g,8g
Yellow Fin Tuna Steaks,4 oz (113 g),120,1g,0g,26g
Yellow Curry Sauce,1/2 cup (4 oz),240,20g,11g,2g
Yellow Grits,1/4 cup (39 g),140,0g,31g,3g
Yellow Curry Simmer Sauce,1/2 cup (125 g),150,12g,9g,2g
Yellow Curry Simmer Sauce,1/2 cup (120 ml),240,21g,12g,2g
Yellow Delicious Apple,1 medium apple (102 g),82,0g,22.4g,0g
Yellow Curry Rice with Sauce,1/4 package (70 g),240,1g,54g,6g
Yellow Fin Tuna,4 oz (113 g),100,0g,0g,24g
Yellow Curry with Noodles,1/2 packet (140 g),210,7g,32g,5g
Yellow Dal Curry,1 (380 g),510,17g,73g,17g
Yellow Kernel Popcorn,3 tbsp unpopped (38 g),120,1g,28g,4g
Yellow Kernel Popcorn,3 tbsp (36 g),130,1.5g,25g,4g
Yellow Lentil & Brown Rice Pasta,2 oz uncooked (57 g),190,0g,32g,14g
Yellow Hominy,1/2 cup,120,1.5g,25g,2g
Yellow Lentil & Brown Rice Spaghetti,2 oz (56 g),180,0g,31g,14g
Yellow Jackfruit Curry with Jasmine Rice,1 tray (370 g),470,18g,70g,8g
Yellow Dragon Fruit,1 serving (170 g),102,0g,22g,2g
Yellow Lentil Lasagna Sheets,2 oz (56 g),190,1g,35g,13g
Yellow Lentil Casarecce Pasta,3/4 cup (55 g),190,1g,34g,12g
Yellow Mini Potatoes,4-5 potatoes (148 g),110,0g,26g,3g
Yellow Mustard,1 tsp (5 g),0,0g,0g,0g
Yellow Lentil Hummus,2 tbsp (28 g),60,4g,5g,2g
Yellow Mustard,1 tsp (5 g),0,0g,0g,0g
Yellow Mustard,1 tsp (5 g),0,0g,0g,0g
Yellow Mustard,1 tsp (5 g),0,0g,0g,0g
Yellow Mustard,1 tsp (5 g),0,0g,0g,0g
Yellow Mustard,1 serving,15,0.5g,1g,1g
Yellow Mustard,1 serving,25,0g,6g,0g
Yellow Mustard,1 serving,5,0g,0g,0g
Yellow Lentil Penne Rigate,2/3 cup dry (56 g),210,1g,33g,15g
Yellow Mustard,1 tsp (5 g),0,0g,0g,0g
Yellow Mustard,1 tsp (5 g),0,0g,0g,0g
Yellow Mustard,1 tsp (5 g),0,0g,0g,0g
Yellow Mustard,1 tsp (5 g),0,0g,0g,0g
Yellow Mustard,1 tsp (5 g),0,0g,0g,0g
Yellow Mustard,1 tsp (5 g),0,0g,0g,0g
Yellow Lentil Spaghetti,2 oz (56 g),180,0g,31g,14g
Yellow Mustard,1 tsp (5 g),0,0g,0g,0g
Yellow Mustard,1 tsp (5 g),0,0g,0g,0g
Yellow Mustard,1 tsp (5 g),0,0g,0g,0g
Yellow Mustard - 1 tsp,1 serving,0,0g,0g,0g
Yellow Mustard - Regular,1 serving,10,0g,1g,0g
Yellow Mustard - Super,1 serving,15,1g,1g,1g
Yellow Mustard (Large Subs),1 serving,15,0g,0g,0g
Yellow Mustard (Ez),1 serving,0,0g,0g,0g
Yellow Mustard (1 Packet),1 serving,5,0g,0g,0g
Yellow Mustard - Half,1 serving,15,0g,3g,0g
Yellow Mustard,1 tsp (5 g),0,0g,0g,0g
Yellow Mustard - Large,1 serving,10,0.5g,1g,1g
Yellow Mustard (Small Subs & Kids Subs),1 serving,5,0g,0g,0g
"Yellow Mustard (Medium Subs, Wraps, & Salads)",1 serving,10,0g,0g,0g
Yellow Mustard (Reg),1 serving,0,0g,0g,0g
Yellow Mustard (Xtra),1 serving,0,0g,0g,0g
Yellow Mustard 16-Inch French (Ez),1 serving,0,0g,0g,0g
Yellow Mustard (X-Large Subs),1 serving,30,0g,0g,0g
Yellow Mustard,1 tsp (5 g),0,0g,0g,0g
Yellow Mustard,1 tsp,5,0g,0g,0g
Yogurt Raisins,1.4 oz (40 g),180,7g,28g,1g
Yogurt Pretzels,1 serving  (40 g),190,8g,27g,2g
Yogurt Pretzels with Sprinkles,6 pieces (40 g),180,5.5g,31g,2g
Yogurt Raisins,1 serving (28 g),120,5g,19g,1g
Yogurt Ranch with Kefir,2 tbsp (30 ml),60,5g,3g,1g
Yogurt Pretzels,5 pieces (30 g),130,8g,20g,1g
Yogurt Smoothie - Strawberry,1 bottle (7 oz),120,2g,19g,8g
Yogurt Smoothie with Probiotics,1 bottle (207 ml),130,1.5g,24g,5g
Yogurt Soda,8 fl oz (240 ml),83,2g,9g,6g
Yogurt Smoothie,1 bottle (207 ml),160,3g,31g,7g
Yogurt Rice,1/2 cup,199,8g,27g,5g
Yogurt Stars,8 cookies (30 g),150,7g,19g,2g
Yogurt Trail Mix,3 tbsp (30 g),150,9g,13g,4g
Yogurt Trail Mix,1 oz (28 g),110,4.5g,16g,2g
Yogurt Trail Mix,1/4 cup (35 g),160,9g,19g,4g
Yogurt Spread,2 tbsp (30 g),70,6g,3g,1g
Yogurt Toppers Dark Chocolate Cherry,1 pouch (30 g),130,5g,16g,6g
Yogurt Toppers - Honey Blueberry,1 pouch (30 g),130,5g,16g,6g
Yogurt Pretzels,5 pieces (28 g),130,5g,20g,1g
Yogurt Sauce,1 serving (0.9 oz),10,0g,2g,1g
Yogurt Tubes,1 tube (2 oz),50,2g,8g,2g
Yokids,1 package (4 oz),80,1g,14g,4g
"Yogurt, Cucumber & Fresh Dill Dip",2 tbsp (30 g),25,0g,4g,1g
Yogurt-Marinated Chicken & Garlic Sauce,1 serving (448 g),590,26g,53g,40g
Yolato Frozen Yogurt (Small),1 cup (4.2 g),100,0g,21g,4g
Yolk Free Noodles Style Pasta,1 1/4 cups (55 g),200,1g,41g,8g
YoKids Squeezers,1 tube (56 g),60,1g,10g,2g
YoLite Fat Free Strawberry Yogurt,1 container (6 oz),80,0g,13g,7g
Yoli Passion,1 scoop (4.5 g),10,0g,4g,0g
Yolk Free Noodle Style Pasta,1 cup dry (2 oz),200,1g,40g,8g
Yogurt-Drizzled Raspberry Fruit & Oat Bar,1 bar (40 g),160,4g,30g,2g
